spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0MXmiqd7zoXxv6Gqn9ahhQ,Bug,Fontaines D.C.,25,0,25,IE,31/12/2024,71,FALSE,182039,Romance,23/08/2024,0.551,0.839,4,-4.134,0,0.028,0.026,0,0.0935,0.604,131.043,4
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,26,0,24,IE,31/12/2024,87,FALSE,289533,Dizzy up the Girl,01/01/1998,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925,3
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,27,6,23,IE,31/12/2024,87,FALSE,172533,Stargazing,10/05/2024,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",28,1,22,IE,31/12/2024,83,TRUE,178205,F-1 Trillion,15/08/2024,0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,4
5wbg8kepMFoMzHOEuxiI0q,Close To You,Gracie Abrams,29,1,21,IE,31/12/2024,82,FALSE,225973,The Secret of Us,20/06/2024,0.586,0.72,6,-7.984,1,0.0775,0.0236,0.000124,0.0925,0.302,121.927,4
3wo3d0I5H8KjkwGvnz8WbB,Somedays,"Sonny Fodera, Jazzy, D.O.D",30,1,20,IE,31/12/2024,78,FALSE,207168,Somedays,26/07/2024,0.671,0.753,4,-6.045,0,0.0298,0.019,1.29E-05,0.177,0.543,127.926,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,31,-3,19,IE,31/12/2024,88,FALSE,208211,Strange Trails,06/04/2015,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams,32,-5,18,IE,31/12/2024,84,FALSE,167538,minor,14/07/2020,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47E-06,0.124,0.151,109.885,5
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,33,-1,17,IE,31/12/2024,85,FALSE,258034,The Rise and Fall of a Midwest Princess,22/09/2023,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
0rtDE9zfXbamTlRUSwY7zy,Belong Together,Mark Ambor,34,3,16,IE,31/12/2024,81,FALSE,148317,Rockwood,16/08/2024,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,35,3,15,IE,31/12/2024,93,FALSE,261466,HIT ME HARD AND SOFT,17/05/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
2uXlHCUbq9OMUwx3hrk06o,Riptide,Vance Joy,36,-1,14,IE,31/12/2024,85,FALSE,204280,Dream Your Life Away (Deluxe Edition),05/08/2014,0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
